,Season,Round,Team,Opponent,Venue,Attendance,Formation,Opp Formation,xG,xGA,Poss,Sh,SoT,Dist,FK,PK,PKatt,GF,GA,Result
134,2025,Matchweek 22,Juventus,Napoli,Away,53589,4-2-3-1,4-3-3,0.8,2.3,51,5,2,19,0,0,0,1,2,L
135,2025,Matchweek 23,Juventus,Empoli,Home,40160,4-2-3-1,3-4-3,1.8,0.8,55,23,8,19.2,2,0,0,4,1,W
136,2025,Matchweek 24,Juventus,Como,Away,10475,4-2-3-1,4-2-3-1,1.1,0.9,48,7,2,18.2,0,1,1,2,1,W
137,2025,Matchweek 25,Juventus,Inter,Home,41361,4-2-3-1,3-5-2,1.3,1.8,42,16,7,15.4,0,0,0,1,0,W
138,2025,Matchweek 26,Juventus,Cagliari,Away,16412,4-2-3-1,4-5-1,2.1,0.3,60,14,7,16.3,0,0,0,1,0,W
139,2025,Matchweek 27,Juventus,Hellas Verona,Home,36215,4-2-3-1,5-3-2,2,0.2,75,27,9,17,0,0,0,2,0,W
140,2025,Matchweek 28,Juventus,Atalanta,Home,40266,4-2-3-1,3-4-3,0.9,3.2,63,9,2,17.2,0,0,0,0,4,L
141,2025,Matchweek 29,Juventus,Fiorentina,Away,22253,4-2-3-1,3-5-1-1,0.8,0.4,62,11,2,18.3,0,0,0,0,3,L
142,2025,Matchweek 30,Juventus,Genoa,Home,40219,3-4-3,4-2-3-1,0.9,0.4,49,9,6,14.6,0,0,0,1,0,W
143,2025,Matchweek 31,Juventus,Roma,Away,65778,3-4-3,3-4-3,0.8,1.1,59,11,7,19.4,1,0,0,1,1,D
144,2025,Matchweek 32,Juventus,Lecce,Home,39259,3-4-3,3-4-3,1.5,1.1,65,22,7,17.8,0,0,0,2,1,W
145,2025,Matchweek 33,Juventus,Parma,Away,21108,3-4-3,3-5-2,0.8,0.6,66,16,2,18.3,0,0,0,0,1,L
146,2025,Matchweek 34,Juventus,Monza,Home,40016,3-4-3,3-5-2,1.4,0.7,35,10,5,19.5,0,0,0,2,0,W
147,2025,Matchweek 35,Juventus,Bologna,Away,30846,3-4-1-2,4-2-3-1,0.8,0.4,36,6,2,16.1,0,0,0,1,1,D
